battery_power,px_height,px_width,ram,price_range,C1_pred,C2_prob,Ano,Mes,Mes_Numero,satisfacao,pontuacao,pontuacao_geral,indice_qualidade_preco,legenda_price_range,legenda_satisfacao
1843,118,580,3213,2,2,99,2019,Setembro,9,1,3436.39,2,2,alto,pouco
1424,1399,1663,1053,1,1,0,2019,Abril,4,1,1793.12,1,1,baixo,pouco
1844,533,882,1724,1,1,1,2022,Julho,7,3,2194.63,1,2,baixo,alta
1501,198,1056,2487,2,2,99,2023,Junho,6,2,2807.5299999999997,1,2,alto,media
1976,652,1933,2470,2,2,99,2022,Janeiro,1,3,3125.95,2,2,alto,alta
1270,299,845,3770,2,2,99,2022,Setembro,9,1,3921.08,2,2,alto,pouco
1487,857,989,2003,2,2,62,2021,Outubro,10,2,2458.89,1,2,alto,media
1864,225,1545,2258,2,2,99,2020,Agosto,8,3,2763.32,1,2,alto,alta
1307,897,1103,1412,1,1,0,2021,Julho,7,2,1909.43,1,1,baixo,media
1285,475,500,2094,1,1,0,2021,Maio,5,2,2346.38,1,1,baixo,media
715,21,562,3709,2,2,99,2021,Novembro,11,3,3658.48,2,2,alto,alta
966,1446,1754,2574,2,2,99,2020,Março,3,3,3130.7,2,2,alto,alta
689,487,722,1241,1,1,0,2022,Janeiro,1,2,1492.6,1,1,baixo,media
1218,1122,1746,1667,1,1,9,2022,Setembro,9,1,2287.54,1,1,baixo,pouco
873,1257,1411,575,1,1,0,2023,Junho,6,2,1176.65,1,1,baixo,media
1834,0,1987,3692,2,2,99,2021,Abril,4,1,4122.63,2,2,alto,pouco
1367,36,642,299,1,1,0,2019,Fevereiro,2,3,662.9100000000001,1,2,baixo,alta
722,138,1371,2359,1,1,1,2021,Agosto,8,1,2591.4100000000003,1,1,baixo,pouco
1953,555,764,2334,2,2,99,2019,Setembro,9,3,2757.86,1,2,alto,alta
977,1502,1862,3714,2,2,99,2022,Setembro,9,2,4211.63,2,2,alto,media
879,403,1105,349,1,1,0,2023,Junho,6,2,766.55,1,1,baixo,media
1900,912,1596,850,1,1,0,2021,Junho,6,1,1601.28,1,1,baixo,pouco
1504,507,973,2806,2,2,99,2020,Agosto,8,1,3138.34,2,2,alto,pouco
825,206,1917,3278,2,2,99,2021,Março,3,1,3571.76,2,2,alto,pouco
1164,1107,1656,3859,2,2,99,2019,Agosto,8,2,4274.27,2,2,alto,media
894,1285,1462,3615,2,2,99,2019,Maio,5,1,3991.8900000000003,2,2,alto,pouco
1519,1122,1702,2440,2,2,99,2020,Março,3,2,3047.53,2,2,alto,media
860,1573,1581,2832,2,2,99,2021,Setembro,9,2,3336.6400000000003,2,2,alto,media
1537,839,1131,3685,2,2,99,2019,Fevereiro,2,2,4039.7500000000005,2,2,alto,media
1620,434,1339,1086,1,1,0,2019,Outubro,10,1,1635.1100000000001,1,1,baixo,pouco
994,491,530,3190,2,2,99,2023,Abril,4,3,3307.8300000000004,2,2,alto,alta
1412,516,1894,837,1,1,0,2020,Março,3,3,1485.9,1,2,baixo,alta
1260,905,1313,2208,2,2,99,2021,Janeiro,1,1,2674.08,1,1,alto,pouco
1896,447,794,3684,2,2,99,2023,Fevereiro,2,3,3976.3700000000003,2,2,alto,alta
1979,833,1630,452,1,1,0,2020,Novembro,11,2,1243.1599999999999,1,1,baixo,media
1935,806,860,455,1,1,0,2020,Março,3,3,1086.67,1,2,baixo,alta
1342,991,1638,2746,2,2,99,2021,Janeiro,1,3,3260.9900000000002,2,2,alto,alta
1006,35,991,909,1,1,0,2023,Dezembro,12,3,1221.66,1,2,baixo,alta
601,356,765,532,1,1,0,2022,Abril,4,1,809.5,1,1,baixo,pouco
1561,662,874,1205,1,1,0,2021,Julho,7,2,1683.7900000000002,1,1,baixo,media
1430,569,906,752,1,1,0,2019,Dezembro,12,2,1232.41,1,1,baixo,media
1970,654,882,2372,2,2,99,2023,Junho,6,1,2835.3,1,1,alto,pouco
1090,1217,1670,3839,2,2,99,2021,Agosto,8,2,4263.17,2,2,alto,media
804,709,818,2027,1,1,0,2022,Abril,4,3,2293.55,1,2,baixo,alta
1948,651,700,361,1,1,0,2020,Junho,6,2,945.91,1,1,baixo,media
1048,29,1670,2146,1,1,4,2021,Março,3,1,2495.67,1,1,baixo,pouco
709,570,1422,467,1,1,0,2020,Julho,7,2,931.4300000000001,1,1,baixo,media
1132,1091,1293,1950,1,1,23,2021,Julho,7,1,2440.2200000000003,1,1,baixo,pouco
1694,1194,1208,1653,2,1,48,2020,Outubro,10,1,2275.12,1,1,alto,pouco
1692,975,1996,1354,1,1,13,2022,Setembro,9,2,2112.15,1,1,baixo,media
1087,295,589,690,1,1,0,2020,Agosto,8,1,1003.3900000000001,1,1,baixo,pouco
891,40,1435,1303,1,1,0,2019,Maio,5,2,1647.5,1,1,baixo,media
1156,322,547,470,1,1,0,2019,Fevereiro,2,2,810.71,1,1,baixo,media
1958,1524,1848,3064,2,2,99,2023,Abril,4,3,3801.1000000000004,2,2,alto,alta
1753,1590,1926,1324,2,2,91,2023,Fevereiro,2,1,2187.3900000000003,1,1,alto,pouco
1344,419,556,2074,1,1,0,2019,Julho,7,3,2340.3100000000004,1,2,baixo,alta
743,1587,1659,316,1,1,0,2023,Março,3,2,1016.8900000000001,1,1,baixo,media
1396,560,1177,2694,2,2,99,2021,Outubro,10,2,3062.55,2,2,alto,media
1977,1145,1356,2641,2,2,99,2023,Junho,6,3,3257.6400000000003,2,2,alto,alta
1911,868,1632,3057,2,2,99,2021,Janeiro,1,3,3633.17,2,2,alto,alta
1766,439,1306,2316,2,2,99,2021,Setembro,9,2,2789.03,1,2,alto,media
1969,390,756,298,1,1,0,2023,Março,3,1,858.21,1,1,baixo,pouco
790,1100,1437,3424,2,2,99,2022,Julho,7,3,3760.21,2,2,alto,alta
1577,116,1432,2967,2,2,99,2022,Junho,6,3,3321.0700000000006,2,2,alto,alta
1142,739,1766,1273,1,1,0,2023,Janeiro,1,3,1849.3100000000002,1,2,baixo,alta
1723,202,1791,3587,2,2,99,2023,Abril,4,3,4002.04,2,2,alto,alta
1379,838,885,2358,2,2,99,2023,Julho,7,1,2741.98,1,1,alto,pouco
1698,485,1819,1656,2,1,42,2022,Outubro,10,3,2274.2,1,2,alto,alta
1564,117,1115,3742,2,2,99,2022,Dezembro,12,3,3971.5400000000004,2,2,alto,alta
1686,599,1073,780,1,1,0,2020,Fevereiro,2,1,1343.64,1,1,baixo,pouco
1494,944,1003,1208,1,1,0,2019,Junho,6,3,1746.2700000000002,1,2,baixo,alta
1444,1092,1554,2540,2,2,99,2022,Setembro,9,2,3092.0600000000004,2,2,alto,media
972,297,589,3925,2,2,99,2023,Fevereiro,2,1,3958.08,2,2,alto,pouco
1330,462,1304,3269,2,2,99,2020,Setembro,9,3,3586.48,2,2,alto,alta
1494,979,1190,3614,2,2,99,2022,Setembro,9,2,4001.27,2,2,alto,media
915,503,986,2156,1,1,0,2021,Janeiro,1,1,2430.2200000000003,1,1,baixo,pouco
